,id,response
0,494238,1
1,329880,1
2,478115,0
3,461225,0
4,260826,1
5,608327,0
6,270975,1
7,402368,0
8,215108,1
9,321523,1
10,425830,1
11,234711,1
12,492312,1
13,488561,0
14,378353,1
15,511367,0
16,269369,1
17,275743,1
18,68183,0
19,229835,1
20,569552,1
21,265547,0
22,243841,0
23,129747,1
24,213772,1
25,20225,1
26,303454,1
27,367138,1
28,20626,1
29,372864,1
30,68243,0
31,272506,0
32,293564,1
33,69418,0
34,214305,1
35,218221,1
36,268298,1
37,577853,0
38,260429,1
39,548928,0
40,89652,1
41,570241,0
42,263416,1
43,108493,0
44,264021,1
45,248905,1
46,583741,0
47,18121,1
48,213588,1
49,272090,1
50,498104,1
51,264266,1
52,400924,0
53,33720,1
54,67280,0
55,254558,1
56,264541,1
57,222019,1
58,503705,1
59,270119,1
60,455592,0
61,167981,0
62,255807,1
63,559498,0
64,316636,1
65,227093,1
66,627,1
67,515045,0
68,491848,1
69,231818,1
70,298203,1
71,503895,1
72,257872,1
73,248099,0
74,253089,1
75,403295,0
76,499213,1
77,374930,0
78,255409,1
79,494069,1
80,488887,1
81,391080,0
82,285902,0
83,608253,0
84,321422,0
85,190109,0
86,264463,1
87,18027,1
88,475412,0
89,487661,0
90,287097,0
91,234107,1
92,15504,1
93,547260,0
94,218194,1
95,250654,1
96,492244,1
97,264813,1
98,534524,1
99,218032,1
100,13649,1
101,96947,1
102,214254,1
103,607046,0
104,223991,1
105,564860,0
106,466013,0
107,603060,0
108,303469,1
109,262156,1
110,235004,0
111,261161,1
112,483411,0
113,263376,1
114,225644,1
115,248485,1
116,36031,0
117,414453,0
118,69514,1
119,175279,1
120,251636,1
121,72226,1
122,229446,1
123,2677,1
124,254828,1
125,570277,1
126,229568,1
127,327254,1
128,257602,1
129,313177,0
130,483634,1
131,21355,1
132,254795,1
133,569705,0
134,585863,0
135,249109,1
136,19273,1
137,493811,1
138,422549,1
139,270660,1
140,108834,1
141,223012,1
142,2603,0
143,271606,1
144,218586,1
145,22828,1
146,278280,1
147,156674,0
148,605989,0
149,303495,1
150,254515,1
151,225161,1
152,405035,0
153,45773,1
154,515720,1
155,253040,1
156,412026,1
157,254535,1
158,403137,0
159,17754,1
160,256698,1
161,294199,0
162,264452,1
163,381094,0
164,223632,1
165,128571,0
166,36550,1
167,345155,1
168,225505,1
169,322917,1
170,87891,1
171,275587,1
172,223485,1
173,20246,1
174,138835,0
175,268706,1
176,23305,1
177,534066,0
178,307967,0
179,491248,1
180,40712,0
181,216771,1
182,248400,1
183,345965,0
184,149117,1
185,274396,1
186,23944,1
187,278066,1
188,266152,1
189,275659,1
190,217154,1
191,272374,0
192,179850,0
193,553166,1
194,271456,1
