,id,response
0,369782,1
1,387868,0
2,46940,1
3,23625,1
4,211076,1
5,254167,1
6,297638,1
7,22325,1
8,552599,0
9,47007,1
10,212373,0
11,49235,1
12,271040,1
13,266213,1
14,521247,0
15,264033,1
16,335480,0
17,275743,1
18,254090,1
19,23385,1
20,217154,1
21,225515,1
22,492312,1
23,149117,1
24,9302,1
25,465864,0
26,130,0
27,206132,1
28,137677,1
29,20349,1
30,586094,0
31,54008,0
32,218431,1
33,265857,1
34,239205,0
35,29892,0
36,516999,1
37,548441,1
38,259899,1
39,261747,0
40,254558,1
41,18588,1
42,380339,1
43,137807,0
44,491312,0
45,342082,1
46,307443,0
47,390207,0
48,21463,1
49,584289,0
50,455477,1
51,372615,0
52,259333,1
53,492436,1
54,298203,1
55,247446,1
56,482410,1
57,488720,1
58,259406,1
59,259304,1
60,268595,1
61,482560,0
62,610156,0
63,216742,1
64,20626,1
65,270927,1
66,210473,0
67,250146,1
68,265722,1
69,308054,0
70,277166,0
71,488645,1
72,344912,1
73,514409,0
74,20526,1
75,217568,1
76,7917,0
77,249126,1
78,72722,0
79,378658,0
80,267185,1
81,486089,0
82,32847,0
83,271105,1
84,494502,1
85,226382,1
86,283805,0
87,21223,1
88,487246,1
89,221884,1
90,231599,1
91,480155,1
92,212740,1
93,303322,1
94,600053,0
95,247661,0
96,375927,1
97,263755,1
98,483161,1
99,22390,1
100,11169,1
101,226228,1
102,219013,0
103,468418,0
104,321500,1
105,266119,1
106,579586,0
107,222912,1
108,256709,1
109,271919,1
110,29964,0
111,50597,0
112,225889,1
113,607046,0
114,488561,0
115,207139,0
116,378351,0
117,272506,0
118,304703,1
119,494419,1
120,536588,0
121,487200,1
122,224969,1
123,296736,1
124,166228,1
125,598889,0
126,225235,1
127,263714,1
128,217543,1
129,257716,1
130,28919,1
131,21786,0
132,265241,1
133,191135,0
134,153161,0
135,466084,1
136,237016,1
137,18219,1
138,254294,1
139,494235,1
140,215814,1
141,374763,0
142,260908,1
143,271456,1
144,569705,0
145,444301,0
146,258166,1
147,217099,1
148,248538,1
149,248380,1
150,423210,1
151,20987,1
152,222825,1
153,261000,1
154,98505,1
155,157162,1
156,264117,1
157,16120,1
158,217189,1
159,31922,0
160,378216,0
161,225987,1
162,494214,1
163,444271,0
164,327757,0
165,254607,1
166,275234,1
167,248655,1
168,264158,1
169,225484,1
170,528533,0
171,10105,1
172,253585,1
173,253792,1
174,317026,0
175,250828,1
176,223371,1
177,226133,1
178,412026,1
179,494324,1
180,271058,1
181,257730,1
182,226517,1
183,466004,0
184,537643,1
185,218960,1
186,19808,1
187,494213,1
188,224968,1
189,216558,1
190,355990,1
191,78918,0
192,22544,1
193,293121,0
194,573644,1
195,270173,1
196,267201,0
197,275243,1
198,596875,0
199,252015,1
200,216550,1
201,213994,1
202,217886,1
203,266365,1
204,467827,0
205,278370,1
206,258156,1
207,20507,1
208,222661,1
209,264729,1
210,218733,1
211,44323,1
212,195400,1
213,434745,0
214,452337,0
215,272454,0
216,20701,1
217,496009,1
218,76250,1
219,250328,1
220,257869,1
221,257427,1
222,505661,1
223,139783,0
224,229185,1
225,596879,0
226,18027,1
227,214101,1
228,249058,1
229,307967,0
230,21772,1
231,213779,1
232,263245,1
233,282563,1
234,304576,1
235,313177,0
236,511607,0
237,59830,0
238,85356,1
239,414282,0
240,248129,1
241,227921,1
242,255961,1
243,272090,1
244,372569,1
245,254209,1
246,212050,0
247,11041,0
248,608821,0
249,264132,1
250,269311,1
251,146292,1
252,101392,1
253,284692,0
254,17554,1
255,162151,0
256,69082,0
257,265966,1
258,532574,0
259,253120,1
260,44856,0
261,223012,1
262,570241,0
263,503067,0
264,1533,0
265,67911,0
266,270716,1
267,581048,0
268,166222,0
269,259239,1
270,203923,0
271,156674,0
272,20670,1
273,23553,1
274,223065,1
275,494107,1
276,222953,1
277,261425,1
278,17754,1
279,267361,1
280,377478,1
281,29703,1
282,248687,1
283,269917,1
284,392546,0
285,248488,1
286,280075,0
287,582153,0
288,386676,0
289,28681,1
290,581238,0
291,303537,0
