,id,response
0,254722,1
1,218259,1
2,494502,1
3,290144,0
4,214134,1
5,492209,1
6,593957,0
7,21148,1
8,327757,0
9,248585,1
10,259569,1
11,467254,0
12,222503,1
13,267423,1
14,249560,1
15,519167,0
16,263795,1
17,248649,1
18,611625,0
19,359853,0
20,487732,0
21,274297,1
22,20433,1
23,525540,1
24,503705,1
25,14279,1
26,385953,0
27,255004,1
28,263259,1
29,252979,1
30,101469,0
31,54387,0
32,14789,1
33,334224,1
34,51152,1
35,249617,1
36,222516,1
37,392546,0
38,260376,1
39,265884,1
40,493785,1
41,253714,1
42,19046,1
43,526853,0
44,218796,0
45,124588,1
46,495971,1
47,515095,0
48,307730,0
49,277444,1
50,366107,0
51,485246,0
52,534524,1
53,213861,1
54,29653,0
55,508952,0
56,259137,1
57,307613,0
58,222519,1
59,218418,1
60,226485,1
61,529858,1
62,386676,0
63,222766,1
64,579756,0
65,570940,0
66,488335,0
67,260890,1
68,228304,1
69,239392,0
70,269334,1
71,20526,1
72,321205,1
73,493943,1
74,494537,1
75,162627,0
76,265048,1
77,562308,1
78,280131,1
79,256691,1
80,190011,0
81,259621,1
82,265827,1
83,571306,1
84,266145,1
85,262114,1
86,23122,1
87,361641,0
88,468018,0
89,467452,0
90,271540,1
91,106115,0
92,382275,1
93,454031,1
94,222969,1
95,217668,1
96,455662,0
97,500488,0
98,366172,1
99,255945,1
100,451661,0
101,204544,1
102,326917,1
103,493534,0
104,227642,1
105,267963,1
106,484853,0
107,225067,1
108,40334,1
109,130211,0
110,270485,1
111,492355,1
112,148014,1
113,605492,0
114,9049,0
115,14244,1
116,256709,1
117,221452,1
118,263398,1
119,501137,0
120,516999,1
121,254650,1
122,256808,1
123,447982,0
124,594395,0
125,136546,0
126,258290,1
127,83647,0
128,248905,1
129,259437,1
130,276361,1
131,237731,1
132,278243,1
133,278057,1
134,461253,0
135,44856,0
136,271666,1
137,206335,1
138,216270,1
139,224021,1
140,257052,1
141,84917,1
142,138424,0
143,500014,0
144,123390,1
145,328671,0
146,244801,0
147,488647,1
148,46960,0
149,226701,1
150,588555,1
151,251505,1
152,226106,1
153,262916,1
154,408055,0
155,596864,0
156,277770,1
157,446208,0
158,565297,1
159,264851,1
160,503840,0
161,223012,1
162,496129,0
163,274460,1
164,227257,1
165,322775,0
166,494554,1
167,257720,1
168,49232,1
169,519334,0
170,217352,1
171,574373,0
172,18102,1
173,500581,0
174,498169,0
175,589000,0
176,261063,1
177,277166,0
178,67280,0
179,296736,1
180,543261,0
181,606579,0
182,179847,1
183,356752,1
184,573896,1
185,483411,0
186,223263,1
187,491823,1
188,276276,1
189,214273,1
190,269991,0
191,443890,0
192,23861,1
193,444151,1
194,254090,1
195,272116,1
196,575638,0
197,158106,1
198,250749,1
199,225901,1
200,270602,1
201,267501,1
202,427583,0
203,415710,0
204,263385,1
205,491790,1
206,544663,0
207,224049,1
208,281046,1
209,430537,0
210,356490,0
211,261080,1
212,275373,1
213,400629,0
214,478621,0
215,263853,1
216,314964,0
217,225496,1
218,18070,1
219,533303,0
220,274783,1
221,257857,1
222,381097,0
223,30733,0
224,225992,1
225,83202,0
226,85317,1
227,364033,1
228,556006,0
229,271949,1
230,377464,1
231,247728,1
232,265433,1
233,256823,1
234,22599,1
235,391902,0
236,176262,0
237,223991,1
238,483089,1
239,261210,0
240,256703,1
241,30973,1
242,438806,0
243,21143,1
244,257307,1
245,99578,0
246,315939,0
247,271582,1
248,44270,1
249,262306,1
250,275301,1
251,527936,0
252,222637,1
253,12034,1
254,534697,1
255,256945,1
256,217110,1
257,606046,0
258,536125,0
259,275383,0
260,558276,0
261,356131,0
262,212890,1
263,597245,0
264,497504,1
265,248415,1
266,275585,1
267,223403,1
268,493826,1
269,213817,1
270,562131,1
271,503884,0
272,259136,1
273,458937,0
274,428512,0
275,444903,0
276,541797,1
277,343900,1
278,225694,1
279,488883,1
280,265438,1
281,483347,1
282,348612,1
283,280948,0
284,21598,1
285,564860,0
286,216466,1
287,468399,0
288,266350,1
289,272488,0
290,223375,1
291,488483,1
292,388094,1
293,268673,1
294,251114,1
295,257289,1
296,257832,1
297,270812,1
298,216840,1
299,400702,0
300,92228,0
301,20266,1
302,606641,0
303,261565,0
304,214783,1
305,211555,0
306,586094,0
307,221838,1
308,21046,1
309,221552,1
310,257267,1
311,293564,1
312,223121,1
313,496007,1
314,316232,0
315,604034,0
316,225734,1
317,56121,1
318,217835,1
319,271030,1
320,496131,0
321,42970,0
322,277372,1
323,228942,1
324,326078,1
325,256690,1
326,335765,0
327,2599,1
328,494660,1
329,473709,1
330,468044,1
331,92546,0
332,223761,1
333,8609,1
334,270266,1
335,254620,1
336,414512,0
337,265932,1
338,213772,1
339,62383,0
340,326285,0
341,223789,1
342,29957,0
343,116139,0
344,339540,1
345,266260,1
346,22489,1
347,246037,1
348,237641,1
349,218295,1
350,259701,1
351,250898,1
352,432618,0
353,176158,0
354,271598,1
355,287231,0
356,492459,1
357,275599,1
358,137487,1
359,67486,0
360,257128,1
361,349146,1
362,427392,1
363,512620,0
364,23108,1
365,259618,1
366,450076,0
367,507038,1
368,257281,1
369,267147,0
370,511808,0
371,605989,0
372,277693,1
373,552599,0
374,248687,1
375,366211,1
376,214905,1
377,277517,1
378,277468,1
379,494324,1
380,228280,1
381,285272,0
382,341588,0
383,249820,1
384,248564,1
385,254167,1
386,251553,1
387,264331,1
388,268714,1
389,500337,1
390,216471,1
391,388793,1
392,373044,0
393,235004,0
394,135600,0
395,545641,1
396,20955,1
397,501717,0
398,570743,1
399,366857,0
400,253089,1
401,488830,1
402,276294,1
403,49874,0
404,259526,1
405,579903,0
406,258997,1
407,265331,1
408,515970,1
409,213809,1
410,245721,1
411,575997,0
412,90025,1
413,217197,1
414,264117,1
415,259842,1
416,137676,1
417,549786,1
418,67943,1
419,259487,1
420,47007,1
421,271461,1
422,254311,1
423,487554,0
424,90022,1
425,483643,1
426,29736,1
427,269787,1
428,57373,1
429,225383,1
430,501967,0
431,3130,1
432,425548,0
433,276007,1
434,275053,1
435,256113,1
436,63810,1
437,562727,0
438,56243,0
439,494206,1
440,264161,1
441,587632,0
442,14881,1
443,40917,0
444,262966,1
445,225148,1
446,276309,1
447,254538,1
448,156215,0
449,603220,0
450,342740,1
451,222438,1
452,268568,1
453,273962,1
454,225477,1
455,220853,0
456,72122,0
457,281011,0
458,264490,1
459,425224,0
460,391863,0
461,219170,0
462,498121,1
463,257649,1
464,275127,1
465,313482,0
466,511367,0
467,432623,0
468,248706,1
469,24268,1
470,253824,1
471,470536,0
472,253561,1
473,396440,1
474,271105,1
475,544811,0
476,250637,1
477,87319,0
478,223630,1
479,263053,0
480,222038,1
481,221895,1
482,201680,1
483,260908,1
484,268719,1
485,254607,1
486,22202,1
487,213732,1
488,481993,0
489,248377,1
490,527706,0
491,248747,1
492,228167,1
493,225197,1
494,19196,1
495,256372,1
496,21629,1
497,217698,1
498,261228,0
499,91424,1
500,214578,1
501,278341,1
502,455477,1
503,218440,1
504,217090,1
505,224215,1
506,8300,0
507,364229,0
508,278586,0
509,275550,1
510,363701,1
511,21062,1
512,212370,1
513,554151,0
514,447180,0
515,224125,1
516,374399,0
517,345872,0
518,216980,1
519,106444,0
520,270449,1
521,276715,1
522,261425,1
523,494213,1
524,269832,1
525,222878,1
526,262320,1
527,270978,1
528,465865,1
529,533475,0
530,214135,1
531,500013,0
532,137970,1
533,23978,1
534,257869,1
535,277999,1
536,190105,0
537,213699,1
538,488807,1
539,337035,1
540,40712,0
541,257801,1
542,24031,1
543,3814,0
544,214198,1
545,509065,1
546,513498,0
547,487308,1
548,214789,1
549,321538,1
550,216424,1
551,531294,0
552,494451,1
553,321392,0
554,468430,0
555,362125,0
556,266224,1
557,529301,0
558,500997,1
559,223073,1
560,262633,1
561,213753,1
562,216642,1
563,190109,0
564,249998,1
565,253695,1
566,333636,1
567,443879,0
568,483249,1
569,542699,1
570,486469,0
571,254989,1
572,484907,1
573,20732,1
574,29001,1
575,304721,0
576,223287,1
577,268736,1
578,212895,1
579,213612,0
580,421845,1
581,99440,1
582,235237,1
583,273978,1
584,256065,1
585,18219,1
586,261100,1
587,29862,1
588,72310,1
589,554176,0
590,257524,1
591,262399,1
592,137581,1
593,481155,1
594,494399,1
595,527649,0
596,215041,1
597,268592,1
598,263821,1
599,256349,1
600,225679,1
601,248610,1
602,483146,1
603,260434,1
604,29545,1
605,183300,1
606,298304,0
607,228887,1
608,527781,1
609,475412,0
610,81774,1
611,254238,1
612,269237,1
613,576001,0
614,249058,1
615,481511,1
616,260708,1
617,145760,1
618,250210,1
619,142585,0
620,224010,1
621,260402,1
622,256969,1
623,322014,0
624,315420,1
625,254103,1
626,274017,1
627,249935,1
628,247649,1
629,19862,1
630,203373,1
631,362464,0
632,218285,1
633,259933,1
634,52047,1
635,253153,1
636,199330,0
637,215122,1
638,233570,0
639,492254,1
640,57612,1
641,542363,0
642,259783,1
643,23207,1
644,213125,0
645,466163,1
646,259826,1
647,226467,1
648,250871,1
649,255002,1
650,29262,0
651,225933,1
652,18,0
653,265523,1
654,250384,1
655,192205,1
656,506770,1
657,23553,1
658,20626,1
659,257715,1
660,57645,1
661,71263,0
662,231248,1
663,263887,1
664,14738,1
665,276353,1
666,19183,1
667,253145,1
668,239542,1
669,466013,0
670,222953,1
671,262035,1
672,260319,1
673,249109,1
674,83808,1
675,11842,1
676,18331,1
677,400924,0
678,248228,1
679,24253,1
680,257221,1
681,31060,0
682,277816,1
683,270669,1
684,278370,1
685,403856,1
686,497684,0
687,484948,0
688,214163,1
689,83761,1
690,222505,1
691,174902,0
692,229915,1
693,507286,0
694,259998,1
695,222273,1
696,460716,1
697,20494,1
698,195323,1
699,255275,1
700,215970,1
701,214903,1
702,394728,1
703,221475,1
704,263668,1
705,605628,0
706,275558,1
707,258103,1
708,1595,0
709,276284,1
710,217145,1
711,223906,1
712,275622,1
713,277798,1
714,217019,1
715,541374,0
716,263266,1
717,275945,1
718,511544,1
719,251746,1
720,445126,0
721,325026,1
722,492238,1
723,213215,1
724,63383,0
725,399258,0
726,590784,0
727,330162,0
728,267633,1
729,29941,1
730,421853,1
731,23710,1
732,214015,1
733,344912,1
734,612248,0
735,267562,1
