,id,response
0,94517,0
1,277976,1
2,91183,0
3,258133,1
4,255251,1
5,500478,0
6,268620,1
7,99146,0
8,265282,1
9,247613,1
10,251519,1
11,270981,1
12,216956,1
13,265855,1
14,19744,1
15,359847,0
16,217294,1
17,453855,0
18,474078,0
19,145980,0
20,31473,0
21,393043,0
22,493966,1
23,390596,0
24,468038,0
25,249557,0
26,14226,0
27,259746,1
28,274282,1
29,262501,1
30,488469,1
31,135893,0
32,480124,0
33,508920,0
34,259703,1
35,547236,0
36,248640,1
37,257365,1
38,260014,1
39,254093,1
40,364994,1
41,152341,0
42,223737,1
43,488987,1
44,277425,1
45,264863,1
46,249604,1
47,455873,0
48,265624,0
49,268264,1
50,22387,1
51,438466,0
52,518986,0
53,324989,0
54,94537,0
55,276142,1
56,58433,0
57,73508,0
58,361011,0
59,10205,0
60,270763,1
61,67937,0
62,49766,1
63,402715,0
64,70256,0
65,518710,0
66,494217,1
67,123416,1
68,265940,1
69,266513,0
70,475439,1
71,503711,0
72,159245,0
73,214953,1
74,90890,1
75,195372,0
76,194463,1
77,362811,0
78,217100,1
79,264284,1
80,218218,1
81,256370,1
82,222053,1
83,248927,1
84,256332,0
85,443963,0
86,512627,0
87,126306,0
88,257970,1
89,218122,1
90,279958,0
91,496034,0
92,488427,0
93,485066,1
94,362447,0
95,565297,0
96,307855,0
97,22745,1
98,492269,1
99,247421,0
100,22250,1
101,486318,0
102,303789,1
103,262589,1
104,375947,0
105,274008,1
106,204777,1
107,49974,0
108,354918,1
109,296763,1
110,201742,0
111,483079,1
112,324490,0
113,248698,1
114,270438,1
115,276457,0
116,266202,1
117,203456,0
118,227884,1
119,585298,0
120,226395,1
121,222115,1
122,486863,0
123,257403,1
124,387053,0
125,377204,0
126,609273,0
127,259178,1
128,225452,1
129,363125,0
130,254244,1
131,77281,0
132,244213,0
133,211796,0
134,276067,1
135,259525,1
136,149708,0
137,2588,1
138,269803,0
139,515735,0
140,603433,0
141,227281,1
142,249492,0
143,470960,0
144,249602,1
145,175519,0
146,6559,0
147,496142,0
148,259355,1
149,255168,0
150,211414,1
151,493932,1
152,183172,0
153,129583,0
154,483179,1
155,494453,0
156,339540,1
157,277865,1
158,559498,0
