,id,response
0,17893,1
1,218455,1
2,215028,1
3,252077,1
4,257145,1
5,275822,1
6,377090,0
7,408779,0
8,606613,0
9,534972,0
10,273905,0
11,23441,1
12,267277,1
13,552503,0
14,294762,1
15,66876,0
16,543209,0
17,411107,0
18,84378,0
19,23322,1
20,214025,1
21,231585,0
22,266146,1
23,258169,1
24,23295,1
25,403942,0
26,69091,0
27,23245,1
28,183966,1
29,525577,1
30,250299,1
31,426136,1
32,15471,0
33,218949,0
34,491776,0
35,264861,1
36,307592,0
37,214043,1
38,609976,0
39,264991,1
40,19025,1
41,503492,0
42,267284,0
43,333634,1
44,226034,1
45,225632,1
46,214648,1
47,290967,0
48,255275,0
49,15061,0
50,262486,1
51,248734,1
52,262502,1
53,503112,0
54,254134,1
55,221477,1
56,374930,0
57,201518,0
58,453249,0
59,259537,1
60,386496,0
61,228226,1
62,251200,0
63,432961,0
64,257673,1
65,31413,1
66,260278,0
67,273944,1
68,248180,1
69,501141,1
70,124454,0
71,256797,1
72,218847,0
73,255120,1
74,443900,0
75,401359,0
76,494707,0
77,221038,0
78,16806,0
79,218270,1
80,259097,0
81,332515,0
82,389243,0
83,259483,1
84,221969,1
85,225888,1
86,218289,1
87,321968,0
88,268499,1
89,161899,0
90,486651,0
91,3411,1
92,254570,1
93,249226,1
94,223281,1
95,287966,1
96,603208,0
97,243189,0
98,345606,1
99,276369,1
100,344559,1
101,245288,0
102,274368,1
103,67444,1
104,233760,0
105,187170,0
106,256184,0
107,249129,1
108,226088,1
109,316514,0
110,277425,1
111,247443,1
112,46090,1
113,10974,0
114,537444,1
115,217346,1
116,9940,0
117,253680,1
118,263975,1
119,554717,0
120,134162,0
121,357095,0
122,263301,1
123,488875,1
124,124460,0
125,270310,0
126,52126,1
127,275226,1
128,498342,1
129,550576,0
130,315662,0
131,277366,1
132,488934,1
133,226239,1
134,19914,1
135,255411,1
136,353927,0
137,8558,0
138,491707,0
139,46990,1
140,264085,1
141,19744,1
142,321976,0
143,553368,0
144,492471,0
145,23775,0
146,493634,0
147,183147,0
148,223155,1
149,2499,0
150,3377,1
151,214076,1
152,3553,0
153,21433,1
154,495511,0
155,84956,0
156,254561,1
157,149986,0
158,23776,1
159,321740,0
160,290232,1
161,505661,0
162,30564,0
